subject_id,trial_id,valence,arousal,file_path
ID025,S010,3.3333,4.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S010/eeg/sub-ID025_ses-S010_task-Default_run-001_eeg.edf
ID025,S028,4.3333,3.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S028/eeg/sub-ID025_ses-S028_task-Default_run-001_eeg.edf
ID025,S017,3.9333,6.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S017/eeg/sub-ID025_ses-S017_task-Default_run-001_eeg.edf
ID025,S021,6.6667,6.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S021/eeg/sub-ID025_ses-S021_task-Default_run-001_eeg.edf
ID025,S019,7.2,7.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S019/eeg/sub-ID025_ses-S019_task-Default_run-001_eeg.edf
ID025,S026,6.2667,4.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S026/eeg/sub-ID025_ses-S026_task-Default_run-001_eeg.edf
ID025,S018,7.0,5.9333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S018/eeg/sub-ID025_ses-S018_task-Default_run-001_eeg.edf
ID025,S027,7.0667,6.4,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S027/eeg/sub-ID025_ses-S027_task-Default_run-001_eeg.edf
ID025,S020,6.1333,6.2,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S020/eeg/sub-ID025_ses-S020_task-Default_run-001_eeg.edf
ID025,S029,3.25,2.75,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S029/eeg/sub-ID025_ses-S029_task-Default_run-001_eeg.edf
ID025,S016,4.6667,6.4,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S016/eeg/sub-ID025_ses-S016_task-Default_run-001_eeg.edf
ID025,S011,5.1333,2.4,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S011/eeg/sub-ID025_ses-S011_task-Default_run-001_eeg.edf
ID025,S033,4.1429,4.2143,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S033/eeg/sub-ID025_ses-S033_task-Default_run-001_eeg.edf
ID025,S034,3.5333,6.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S034/eeg/sub-ID025_ses-S034_task-Default_run-001_eeg.edf
ID025,S002,5.9286,6.9286,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S002/eeg/sub-ID025_ses-S002_task-Default_run-001_eeg.edf
ID025,S005,5.9286,3.3571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S005/eeg/sub-ID025_ses-S005_task-Default_run-001_eeg.edf
ID025,S004,6.9333,6.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S004/eeg/sub-ID025_ses-S004_task-Default_run-001_eeg.edf
ID025,S003,7.1429,4.8571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S003/eeg/sub-ID025_ses-S003_task-Default_run-001_eeg.edf
ID025,S035,4.9333,7.2667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S035/eeg/sub-ID025_ses-S035_task-Default_run-001_eeg.edf
ID025,S032,4.7857,6.3571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S032/eeg/sub-ID025_ses-S032_task-Default_run-001_eeg.edf
ID025,S040,3.7333,5.7333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S040/eeg/sub-ID025_ses-S040_task-Default_run-001_eeg.edf
ID025,S014,4.2,3.0,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S014/eeg/sub-ID025_ses-S014_task-Default_run-001_eeg.edf
ID025,S013,4.2,3.6,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S013/eeg/sub-ID025_ses-S013_task-Default_run-001_eeg.edf
ID025,S025,7.2667,6.0667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S025/eeg/sub-ID025_ses-S025_task-Default_run-001_eeg.edf
ID025,S022,6.0667,3.0,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S022/eeg/sub-ID025_ses-S022_task-Default_run-001_eeg.edf
ID025,S023,7.1333,3.8667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S023/eeg/sub-ID025_ses-S023_task-Default_run-001_eeg.edf
ID025,S024,7.5333,4.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S024/eeg/sub-ID025_ses-S024_task-Default_run-001_eeg.edf
ID025,S012,3.3333,2.9333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S012/eeg/sub-ID025_ses-S012_task-Default_run-001_eeg.edf
ID025,S015,3.6667,5.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S015/eeg/sub-ID025_ses-S015_task-Default_run-001_eeg.edf
ID025,S037,3.2667,5.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S037/eeg/sub-ID025_ses-S037_task-Default_run-001_eeg.edf
ID025,S008,6.4667,4.0,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S008/eeg/sub-ID025_ses-S008_task-Default_run-001_eeg.edf
ID025,S030,3.4375,3.625,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S030/eeg/sub-ID025_ses-S030_task-Default_run-001_eeg.edf
ID025,S006,6.5714,4.2143,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S006/eeg/sub-ID025_ses-S006_task-Default_run-001_eeg.edf
ID025,S039,5.8667,7.0667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S039/eeg/sub-ID025_ses-S039_task-Default_run-001_eeg.edf
ID025,S001,6.8571,5.8571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S001/eeg/sub-ID025_ses-S001_task-Default_run-001_eeg.edf
ID025,S007,7.0667,4.7333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S007/eeg/sub-ID025_ses-S007_task-Default_run-001_eeg.edf
ID025,S038,3.4667,5.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S038/eeg/sub-ID025_ses-S038_task-Default_run-001_eeg.edf
ID025,S031,3.2,3.667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S031/eeg/sub-ID025_ses-S031_task-Default_run-001_eeg.edf
ID025,S036,3.2667,5.8667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S036/eeg/sub-ID025_ses-S036_task-Default_run-001_eeg.edf
ID025,S009,4.2,3.7333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID025/ses-S009/eeg/sub-ID025_ses-S009_task-Default_run-001_eeg.edf
ID022,S010,3.3333,4.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S010/eeg/sub-ID022_ses-S010_task-Default_run-001_eeg.edf
ID022,S028,4.3333,3.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S028/eeg/sub-ID022_ses-S028_task-Default_run-001_eeg.edf
ID022,S017,3.9333,6.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S017/eeg/sub-ID022_ses-S017_task-Default_run-001_eeg.edf
ID022,S021,6.6667,6.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S021/eeg/sub-ID022_ses-S021_task-Default_run-001_eeg.edf
ID022,S019,7.2,7.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S019/eeg/sub-ID022_ses-S019_task-Default_run-001_eeg.edf
ID022,S026,6.2667,4.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S026/eeg/sub-ID022_ses-S026_task-Default_run-001_eeg.edf
ID022,S018,7.0,5.9333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S018/eeg/sub-ID022_ses-S018_task-Default_run-001_eeg.edf
ID022,S027,7.0667,6.4,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S027/eeg/sub-ID022_ses-S027_task-Default_run-001_eeg.edf
ID022,S020,6.1333,6.2,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S020/eeg/sub-ID022_ses-S020_task-Default_run-001_eeg.edf
ID022,S029,3.25,2.75,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S029/eeg/sub-ID022_ses-S029_task-Default_run-001_eeg.edf
ID022,S016,4.6667,6.4,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S016/eeg/sub-ID022_ses-S016_task-Default_run-001_eeg.edf
ID022,S011,5.1333,2.4,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S011/eeg/sub-ID022_ses-S011_task-Default_run-001_eeg.edf
ID022,S033,4.1429,4.2143,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S033/eeg/sub-ID022_ses-S033_task-Default_run-001_eeg.edf
ID022,S034,3.5333,6.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S034/eeg/sub-ID022_ses-S034_task-Default_run-001_eeg.edf
ID022,S002,5.9286,6.9286,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S002/eeg/sub-ID022_ses-S002_task-Default_run-001_eeg.edf
ID022,S005,5.9286,3.3571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S005/eeg/sub-ID022_ses-S005_task-Default_run-001_eeg.edf
ID022,S004,6.9333,6.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S004/eeg/sub-ID022_ses-S004_task-Default_run-001_eeg.edf
ID022,S003,7.1429,4.8571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S003/eeg/sub-ID022_ses-S003_task-Default_run-001_eeg.edf
ID022,S035,4.9333,7.2667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S035/eeg/sub-ID022_ses-S035_task-Default_run-001_eeg.edf
ID022,S032,4.7857,6.3571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S032/eeg/sub-ID022_ses-S032_task-Default_run-001_eeg.edf
ID022,S040,3.7333,5.7333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S040/eeg/sub-ID022_ses-S040_task-Default_run-001_eeg.edf
ID022,S014,4.2,3.0,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S014/eeg/sub-ID022_ses-S014_task-Default_run-001_eeg.edf
ID022,S013,4.2,3.6,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S013/eeg/sub-ID022_ses-S013_task-Default_run-001_eeg.edf
ID022,S025,7.2667,6.0667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S025/eeg/sub-ID022_ses-S025_task-Default_run-001_eeg.edf
ID022,S022,6.0667,3.0,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S022/eeg/sub-ID022_ses-S022_task-Default_run-001_eeg.edf
ID022,S023,7.1333,3.8667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S023/eeg/sub-ID022_ses-S023_task-Default_run-001_eeg.edf
ID022,S024,7.5333,4.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S024/eeg/sub-ID022_ses-S024_task-Default_run-001_eeg.edf
ID022,S012,3.3333,2.9333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S012/eeg/sub-ID022_ses-S012_task-Default_run-001_eeg.edf
ID022,S015,3.6667,5.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S015/eeg/sub-ID022_ses-S015_task-Default_run-001_eeg.edf
ID022,S037,3.2667,5.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S037/eeg/sub-ID022_ses-S037_task-Default_run-001_eeg.edf
ID022,S008,6.4667,4.0,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S008/eeg/sub-ID022_ses-S008_task-Default_run-001_eeg.edf
ID022,S030,3.4375,3.625,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S030/eeg/sub-ID022_ses-S030_task-Default_run-001_eeg.edf
ID022,S006,6.5714,4.2143,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S006/eeg/sub-ID022_ses-S006_task-Default_run-001_eeg.edf
ID022,S039,5.8667,7.0667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S039/eeg/sub-ID022_ses-S039_task-Default_run-001_eeg.edf
ID022,S001,6.8571,5.8571,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S001/eeg/sub-ID022_ses-S001_task-Default_run-001_eeg.edf
ID022,S007,7.0667,4.7333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S007/eeg/sub-ID022_ses-S007_task-Default_run-001_eeg.edf
ID022,S038,3.4667,5.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S038/eeg/sub-ID022_ses-S038_task-Default_run-001_eeg.edf
ID022,S031,3.2,3.667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S031/eeg/sub-ID022_ses-S031_task-Default_run-001_eeg.edf
ID022,S036,3.2667,5.8667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S036/eeg/sub-ID022_ses-S036_task-Default_run-001_eeg.edf
ID022,S009,4.2,3.7333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID022/ses-S009/eeg/sub-ID022_ses-S009_task-Default_run-001_eeg.edf
ID014,S010,3.3333,4.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S010/eeg/sub-ID014_ses-S010_task-Default_run-001_eeg.edf
ID014,S028,4.3333,3.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S028/eeg/sub-ID014_ses-S028_task-Default_run-001_eeg.edf
ID014,S017,3.9333,6.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S017/eeg/sub-ID014_ses-S017_task-Default_run-001_eeg.edf
ID014,S021,6.6667,6.4667,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S021/eeg/sub-ID014_ses-S021_task-Default_run-001_eeg.edf
ID014,S019,7.2,7.3333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S019/eeg/sub-ID014_ses-S019_task-Default_run-001_eeg.edf
ID014,S026,6.2667,4.1333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S026/eeg/sub-ID014_ses-S026_task-Default_run-001_eeg.edf
ID014,S018,7.0,5.9333,/Users/andrei/Projects/resonance_installation/notebooks/models/BIDS/sub-ID014/ses-S018/eeg/sub-ID014_ses-S018_task-Default_run-001_eeg.edf
